size,option,capacity,avg_time_sec
tiny,unopt,N/A,0.014390999999999998
tiny,opt,8*1024,0.0015834
tiny,opt,16*1024,0.0014522
tiny,opt,32*1024,0.08620459999999999
small,unopt,N/A,0.117695
small,opt,32*1024,0.0168826
small,opt,64*1024,0.006654199999999999
small,opt,132*1024,0.0048402
med,unopt,N/A,1.0044236
med,opt,64*1024,0.06416140000000001
med,opt,132*1024,0.0484208
med,opt,256*1024,0.0529188
large,unopt,N/A,8.611381
large,opt,256*1024,0.46807920000000003
large,opt,512*1024,0.6818926
large,opt,1024*1024,1.1122988
